,k2,state,proba
0,0.0,-1-twisted,0.25523429710867396
1,0.5,-1-twisted,0.2213359920239282
2,1.0,-1-twisted,0.226321036889332
3,1.5,-1-twisted,0.20837487537387836
4,2.0,-1-twisted,0.09072781655034895
5,2.5,-1-twisted,0.040877367896311065
6,3.0,-1-twisted,0.022931206380857428
7,3.5,-1-twisted,0.007976071784646061
8,4.0,-1-twisted,0.0019940179461615153
9,4.5,-1-twisted,
10,5.0,-1-twisted,
11,8.0,-1-twisted,
12,5.5,-1-twisted,
13,7.5,-1-twisted,
14,6.5,-1-twisted,
15,7.0,-1-twisted,
16,6.0,-1-twisted,
17,8.5,-1-twisted,
18,9.0,-1-twisted,
19,9.5,-1-twisted,
20,10.0,-1-twisted,
21,0.0,-2-twisted,0.08673978065802593
22,0.5,-2-twisted,0.08574277168494517
23,1.0,-2-twisted,0.1156530408773679
24,1.5,-2-twisted,0.14456630109670987
25,2.0,-2-twisted,0.10867397806580259
26,2.5,-2-twisted,0.08075772681954138
27,3.0,-2-twisted,0.02193419740777667
28,3.5,-2-twisted,0.005982053838484547
29,4.0,-2-twisted,0.0009970089730807576
30,4.5,-2-twisted,
31,5.0,-2-twisted,
32,8.0,-2-twisted,
33,5.5,-2-twisted,
34,7.5,-2-twisted,
35,6.5,-2-twisted,
36,7.0,-2-twisted,
37,6.0,-2-twisted,
38,8.5,-2-twisted,
39,9.0,-2-twisted,
40,9.5,-2-twisted,
41,10.0,-2-twisted,
42,0.0,-3-twisted,0.019940179461615155
43,0.5,-3-twisted,0.027916251246261216
44,1.0,-3-twisted,0.0448654037886341
45,1.5,-3-twisted,0.04685942173479561
46,2.0,-3-twisted,0.04187437686939183
47,2.5,-3-twisted,0.0518444666001994
48,3.0,-3-twisted,0.03090727816550349
49,3.5,-3-twisted,0.01694915254237288
50,4.0,-3-twisted,0.009970089730807577
51,4.5,-3-twisted,0.004985044865403789
52,5.0,-3-twisted,0.0009970089730807576
53,8.0,-3-twisted,0.0009970089730807576
54,5.5,-3-twisted,
55,7.5,-3-twisted,
56,6.5,-3-twisted,
57,7.0,-3-twisted,
58,6.0,-3-twisted,
59,8.5,-3-twisted,
60,9.0,-3-twisted,
61,9.5,-3-twisted,
62,10.0,-3-twisted,
63,0.0,-4-twisted,0.003988035892323031
64,0.5,-4-twisted,0.004985044865403789
65,1.0,-4-twisted,0.007976071784646061
66,1.5,-4-twisted,0.00897308075772682
67,2.0,-4-twisted,0.03389830508474576
68,2.5,-4-twisted,0.023928215353938187
69,3.0,-4-twisted,0.0259222333000997
70,3.5,-4-twisted,0.01694915254237288
