,k2,state,proba
0,0.0,other,0.96
1,0.25,other,0.78
2,0.5,other,0.69
3,0.75,other,0.05
4,1.0,other,0.05
5,1.25,other,0.15
6,1.5,other,0.33
7,1.75,other,0.52
8,2.0,other,0.66
9,2.25,other,0.63
10,2.5,other,0.86
11,2.75,other,0.94
12,3.0,other,0.93
13,3.25,other,0.96
14,3.5,other,0.98
15,3.75,other,0.98
16,4.0,other,0.98
17,4.25,other,0.99
18,0.0,sync,0.04
19,0.25,sync,0.22
20,0.5,sync,0.31
21,0.75,sync,0.47
22,1.0,sync,0.55
23,1.25,sync,0.46
24,1.5,sync,0.45
25,1.75,sync,0.32
26,2.0,sync,0.22
27,2.25,sync,0.19
28,2.5,sync,0.02
29,2.75,sync,0.02
30,3.0,sync,0.01
31,3.25,sync,0.02
32,3.5,sync,0.01
33,3.75,sync,
34,4.0,sync,
35,4.25,sync,
36,0.0,-1-twisted,
37,0.25,-1-twisted,
38,0.5,-1-twisted,
39,0.75,-1-twisted,0.25
40,1.0,-1-twisted,0.26
41,1.25,-1-twisted,0.16
42,1.5,-1-twisted,0.11
43,1.75,-1-twisted,0.04
44,2.0,-1-twisted,0.02
45,2.25,-1-twisted,
46,2.5,-1-twisted,
47,2.75,-1-twisted,
48,3.0,-1-twisted,
49,3.25,-1-twisted,
50,3.5,-1-twisted,
51,3.75,-1-twisted,
52,4.0,-1-twisted,
53,4.25,-1-twisted,
54,0.0,1-twisted,
55,0.25,1-twisted,
56,0.5,1-twisted,
57,0.75,1-twisted,0.23
58,1.0,1-twisted,0.14
59,1.25,1-twisted,0.22
60,1.5,1-twisted,0.11
61,1.75,1-twisted,0.08
62,2.0,1-twisted,0.04
63,2.25,1-twisted,
64,2.5,1-twisted,
65,2.75,1-twisted,
66,3.0,1-twisted,
67,3.25,1-twisted,
68,3.5,1-twisted,
69,3.75,1-twisted,
70,4.0,1-twisted,
71,4.25,1-twisted,
72,0.0,2-cluster,
73,0.25,2-cluster,
74,0.5,2-cluster,
75,0.75,2-cluster,
76,1.0,2-cluster,
77,1.25,2-cluster,0.01
78,1.5,2-cluster,
79,1.75,2-cluster,0.04
80,2.0,2-cluster,0.06
81,2.25,2-cluster,0.18
82,2.5,2-cluster,0.12
83,2.75,2-cluster,0.04
84,3.0,2-cluster,0.06
85,3.25,2-cluster,0.02
86,3.5,2-cluster,0.01
87,3.75,2-cluster,0.02
88,4.0,2-cluster,0.02
89,4.25,2-cluster,0.01
