,k2,state,proba
0,0.0,-1-twisted,0.23333333333333334
1,0.25,-1-twisted,0.26666666666666666
2,0.5,-1-twisted,0.3333333333333333
3,1.25,-1-twisted,0.1
4,0.75,-1-twisted,
5,1.5,-1-twisted,
6,1.0,-1-twisted,
7,1.75,-1-twisted,
8,2.0,-1-twisted,
9,2.25,-1-twisted,
10,2.5,-1-twisted,
11,2.75,-1-twisted,
12,3.0,-1-twisted,
13,3.25,-1-twisted,
14,3.5,-1-twisted,
15,3.75,-1-twisted,
16,4.0,-1-twisted,
17,4.25,-1-twisted,
18,0.0,-2-twisted,0.1
19,0.25,-2-twisted,0.13333333333333333
20,0.5,-2-twisted,0.1
21,1.25,-2-twisted,
22,0.75,-2-twisted,
23,1.5,-2-twisted,
24,1.0,-2-twisted,
25,1.75,-2-twisted,
26,2.0,-2-twisted,
27,2.25,-2-twisted,
28,2.5,-2-twisted,
29,2.75,-2-twisted,
30,3.0,-2-twisted,
31,3.25,-2-twisted,
32,3.5,-2-twisted,
33,3.75,-2-twisted,
34,4.0,-2-twisted,
35,4.25,-2-twisted,
36,0.0,1-twisted,0.26666666666666666
37,0.25,1-twisted,0.16666666666666666
38,0.5,1-twisted,0.13333333333333333
39,1.25,1-twisted,0.1
40,0.75,1-twisted,0.13333333333333333
41,1.5,1-twisted,0.03333333333333333
42,1.0,1-twisted,
43,1.75,1-twisted,
44,2.0,1-twisted,
45,2.25,1-twisted,
46,2.5,1-twisted,
47,2.75,1-twisted,
48,3.0,1-twisted,
49,3.25,1-twisted,
50,3.5,1-twisted,
51,3.75,1-twisted,
52,4.0,1-twisted,
53,4.25,1-twisted,
54,0.0,2-twisted,0.16666666666666666
55,0.25,2-twisted,
56,0.5,2-twisted,0.03333333333333333
57,1.25,2-twisted,
58,0.75,2-twisted,
59,1.5,2-twisted,
60,1.0,2-twisted,
61,1.75,2-twisted,
62,2.0,2-twisted,
63,2.25,2-twisted,
64,2.5,2-twisted,
65,2.75,2-twisted,
66,3.0,2-twisted,
67,3.25,2-twisted,
68,3.5,2-twisted,
69,3.75,2-twisted,
70,4.0,2-twisted,
71,4.25,2-twisted,
72,0.0,sync,0.23333333333333334
73,0.25,sync,0.4
74,0.5,sync,0.4
75,1.25,sync,0.4
76,0.75,sync,
77,1.5,sync,
78,1.0,sync,0.6666666666666666
79,1.75,sync,
80,2.0,sync,
81,2.25,sync,
82,2.5,sync,
83,2.75,sync,
84,3.0,sync,
85,3.25,sync,
86,3.5,sync,
87,3.75,sync,
88,4.0,sync,
89,4.25,sync,
90,0.0,-3-twisted,
91,0.25,-3-twisted,0.03333333333333333
92,0.5,-3-twisted,
93,1.25,-3-twisted,
94,0.75,-3-twisted,
95,1.5,-3-twisted,
96,1.0,-3-twisted,
97,1.75,-3-twisted,
98,2.0,-3-twisted,
99,2.25,-3-twisted,
100,2.5,-3-twisted,
101,2.75,-3-twisted,
102,3.0,-3-twisted,
103,3.25,-3-twisted,
104,3.5,-3-twisted,
105,3.75,-3-twisted,
106,4.0,-3-twisted,
107,4.25,-3-twisted,
108,0.0,other,
109,0.25,other,
110,0.5,other,
111,1.25,other,0.4
112,0.75,other,0.8666666666666667
113,1.5,other,0.9666666666666667
114,1.0,other,0.3333333333333333
115,1.75,other,1.0
116,2.0,other,1.0
117,2.25,other,1.0
118,2.5,other,1.0
119,2.75,other,1.0
120,3.0,other,1.0
121,3.25,other,1.0
122,3.5,other,1.0
123,3.75,other,1.0
124,4.0,other,1.0
125,4.25,other,1.0
