,k2,state,proba
0,0.0,other,0.668
1,0.25,other,0.66
2,0.5,other,0.622
3,0.75,other,0.096
4,1.0,other,0.03
5,1.25,other,0.066
6,1.5,other,0.338
7,1.75,other,0.5
8,2.0,other,0.624
9,2.25,other,0.664
10,2.5,other,0.832
11,2.75,other,0.88
12,3.0,other,0.924
13,3.25,other,0.948
14,3.5,other,0.962
15,3.75,other,0.966
16,4.0,other,0.986
17,4.25,other,0.99
18,0.0,sync,0.332
19,0.25,sync,0.34
20,0.5,sync,0.378
21,0.75,sync,0.436
22,1.0,sync,0.524
23,1.25,sync,0.564
24,1.5,sync,0.44
25,1.75,sync,0.342
26,2.0,sync,0.19
27,2.25,sync,0.122
28,2.5,sync,0.038
29,2.75,sync,0.028
30,3.0,sync,0.002
31,3.25,sync,0.006
32,3.5,sync,0.004
33,3.75,sync,
34,4.0,sync,0.002
35,4.25,sync,0.002
36,0.0,-1-twisted,
37,0.25,-1-twisted,
38,0.5,-1-twisted,
39,0.75,-1-twisted,0.226
40,1.0,-1-twisted,0.218
41,1.25,-1-twisted,0.196
42,1.5,-1-twisted,0.102
43,1.75,-1-twisted,0.046
44,2.0,-1-twisted,0.03
45,2.25,-1-twisted,0.01
46,2.5,-1-twisted,
47,2.75,-1-twisted,
48,3.0,-1-twisted,
49,3.25,-1-twisted,
50,3.5,-1-twisted,0.002
51,3.75,-1-twisted,
52,4.0,-1-twisted,
53,4.25,-1-twisted,
54,0.0,1-twisted,
55,0.25,1-twisted,
56,0.5,1-twisted,
57,0.75,1-twisted,0.242
58,1.0,1-twisted,0.226
59,1.25,1-twisted,0.172
60,1.5,1-twisted,0.114
61,1.75,1-twisted,0.066
62,2.0,1-twisted,0.024
63,2.25,1-twisted,0.004
64,2.5,1-twisted,0.002
65,2.75,1-twisted,0.002
66,3.0,1-twisted,
67,3.25,1-twisted,0.004
68,3.5,1-twisted,
69,3.75,1-twisted,
70,4.0,1-twisted,
71,4.25,1-twisted,
72,0.0,2-cluster,
73,0.25,2-cluster,
74,0.5,2-cluster,
75,0.75,2-cluster,
76,1.0,2-cluster,0.002
77,1.25,2-cluster,0.002
78,1.5,2-cluster,0.006
79,1.75,2-cluster,0.046
80,2.0,2-cluster,0.132
81,2.25,2-cluster,0.2
82,2.5,2-cluster,0.128
83,2.75,2-cluster,0.09
84,3.0,2-cluster,0.074
85,3.25,2-cluster,0.042
86,3.5,2-cluster,0.032
87,3.75,2-cluster,0.034
88,4.0,2-cluster,0.012
89,4.25,2-cluster,0.008
